((('1.2.2.2',), {}), True)
((('1.2.2.3',), {}), True)
((('1.2.2.4',), {}), True)
((('1.2.2.5',), {}), True)
((('1.2.2.6',), {}), True)
((('1.2.2.7',), {}), True)
((('1.2.2.8',), {}), True)
((('1.2.1.3',), {}), True)
((('1.2.1.1',), {}), True)
((('1.2.1.2',), {}), True)
((('1.2.2.9',), {}), True)
((('1.2.2.10',), {}), True)
((('1.2.3.1',), {}), True)
((('1.2.2.11',), {}), True)
((('1.2.2.12',), {}), True)
((('1.2.2.13',), {}), True)
((('1.2.2.14',), {}), True)
((('1.2.3.2',), {}), True)
((('1.2.3.3',), {}), True)
((('1.2.3.4',), {}), True)
((('1.2.3.5',), {}), True)
((('1.2.3.6',), {}), True)
((('1.2.3.7',), {}), True)
((('1.2.3.8',), {}), True)
((('1.2.3.9',), {}), True)
((('1.2.3.10',), {}), True)
((('1.2.3.11',), {}), True)
((('1.2.3.12',), {}), True)
((('1.2.3.13',), {}), True)
((('1.2.3.14',), {}), True)
((('1.2.3.15',), {}), True)
((('1.2.3.16',), {}), True)
((('1.2.3.17',), {}), True)
((('1.2.3.18',), {}), True)
((('1.2.3.19',), {}), True)
((('1.2.3.20',), {}), True)
((('1.2.3.21',), {}), True)
((('1.2.3.22',), {}), True)
((('1.2.3.23',), {}), True)
((('1.2.3.24',), {}), True)
((('1.2.3.26',), {}), True)
((('1.2.3.25',), {}), True)
((('1.2.3.27',), {}), True)
((('1.2.3.28',), {}), True)
((('1.2.3.29',), {}), True)
((('1.2.3.30',), {}), True)
((('1.2.3.31',), {}), True)
((('1.2.3.32',), {}), True)
((('1.2.3.33',), {}), True)
((('1.2.3.34',), {}), True)
((('1.2.3.35',), {}), True)
((('1.2.3.37',), {}), True)
((('1.2.3.36',), {}), True)
((('1.2.3.38',), {}), True)
((('1.2.3.39',), {}), True)
((('1.2.3.40',), {}), True)
((('1.2.3.41',), {}), True)
((('1.2.3.42',), {}), True)
((('1.2.4.1',), {}), True)
((('1.2.4.3',), {}), True)
((('1.2.4.4',), {}), True)
((('1.2.4.5',), {}), True)
((('1.2.4.6',), {}), True)
((('1.2.4.7',), {}), True)
((('1.2.4.8',), {}), True)
((('1.2.4.9',), {}), True)
((('1.2.4.11',), {}), True)
((('1.2.4.10',), {}), True)
((('1.2.4.12',), {}), True)
((('1.2.4.13',), {}), True)
((('1.2.4.14',), {}), True)
